item,item_create,item_los,date
濃厚ショコラ,3,0,2024/01/09
ほうじ茶とホワイトチョコ,9,0,2024/01/09
プレーン1斤,0,0,2024/01/09
純生1斤,0,0,2024/01/09
ホイップバター,6,0,2024/01/09
天使のクロワッサン,12,0,2024/01/09
塩トリュフクロワッサン,5,0,2024/01/09
チョコレートクロワッサン,3,0,2024/01/09
ストロベリークロワッサン,1,0,2024/01/09
ホワイトチョコクロワッサン,1,0,2024/01/09
アーモンドダマンドクロワッサン,1,0,2024/01/09
アールグレイダマンドクロワッサン,1,0,2024/01/09
ほうじ茶ダマンドクロワッサン,2,0,2024/01/09
抹茶つぶあんダマンド,0,0,2024/01/09
板チョコバタークロワッサン,3,0,2024/01/09
ソーセージクロワッサン,6,0,2024/01/09
明太マヨコロッケクロワッサン,0,0,2024/01/09
ささみカツバーガー,2,0,2024/01/09
アラビアータバーガー,2,0,2024/01/09
照り焼きチキンバーガ,2,0,2024/01/09
明太マヨコロッケバー,2,0,2024/01/09
シーザーサラダバーガ,2,0,2024/01/09
リュスティック,0,0,2024/01/09
悪魔のカレーパン,8,0,2024/01/09
とうもろこしクロックムッシュ,3,0,2024/01/09
明太ペペロンチーノフランス,3,0,2024/01/09
明太チーズオムレツサンド,5,0,2024/01/09
トマトとリコッタのタルティーヌ,2,0,2024/01/09
チョリソーとキャベツのタルティーヌ,0,0,2024/01/09
シラスとキノコのタルティーヌ,3,0,2024/01/09
ハニートースト,8,0,2024/01/09
チョコ　クロワッサンロール,1,0,2024/01/09
ストロベリー　クロワッサンロール,3,0,2024/01/09
きな粉とくるみのあんバター,2,0,2024/01/09
チョコマフィン,1,0,2024/01/09
ストロベリーマフィン,1,0,2024/01/09
フルーツパイ,4,0,2024/01/09
シナモンロール,0,0,2024/01/09
シュガーラスク,0,0,2024/01/09
チョコラスク,0,0,2024/01/09
ストロベリーラスク,0,0,2024/01/09
ホワイトラスク,0,0,2024/01/09
極上プリン カップtak,13,0,2024/01/09
ほうじ茶プリン カッップ,4,0,2024/01/09
極上プリン　ビン　Ta,1,0,2024/01/09
抹茶プリン　take,0,0,2024/01/09
フレンチトーストtake,4,0,2024/01/09
フレンチ【プレーン】,2,0,2024/01/09
フレンチ【ベリー】,0,0,2024/01/09
フレンチ【キャラメル,2,0,2024/01/09
EDWブレックファース,0,0,2024/01/09
バスクチーズtake,2,0,2024/01/09
プレーン 2斤,15,0,2024/01/10
純生 2斤,9,0,2024/01/10
プレーン　1斤,0,0,2024/01/10
アップルシナモン,2,0,2024/01/10
濃厚ショコラ,7,0,2024/01/10
ほうじ茶とホワイトチョコ,7,0,2024/01/10
プレーン1斤,0,0,2024/01/10
純生1斤,0,0,2024/01/10
ホイップバター,7,0,2024/01/10
天使のクロワッサン,18,0,2024/01/10
塩トリュフクロワッサン,6,0,2024/01/10
チョコレートクロワッサン,6,0,2024/01/10
ストロベリークロワッサン,4,0,2024/01/10
ホワイトチョコクロワッサン,3,0,2024/01/10
アーモンドダマンドクロワッサン,3,0,2024/01/10
アールグレイダマンドクロワッサン,2,0,2024/01/10
ほうじ茶ダマンドクロワッサン,0,0,2024/01/10
抹茶つぶあんダマンド,6,0,2024/01/10
