item,item_create,item_los,date
明太チーズオムレツサンド,0,0,2023/9/7
トマトとリコッタのタルティーヌ,3,0,2023/9/7
チョリソーとキャベツのタルティーヌ,2,0,2023/9/7
シラスとキノコのタルティーヌ,3,0,2023/9/7
夏野菜とチーズのタルティーヌ,7,0,2023/9/7
あんバタートースト,6,0,2023/9/7
ベリーとクリームチーズのハニートースト,4,0,2023/9/7
カボチャのクリームパン,0,0,2023/9/7
きな粉とくるみのあんバター,0,0,2023/9/7
ボストック,0,0,2023/9/7
チョコマフィン,0,0,2023/9/7
レモンカスタードマフ,11,0,2023/9/7
ストロベリーマフィン,0,0,2023/9/7
シャインマスカットのフルーツパイ,8,0,2023/9/7
シナモンロール,4,0,2023/9/7
レモンアールグレイのクロッフィン,0,0,2023/9/7
シュガーラスク,4,0,2023/9/7
シナモンラスク,0,0,2023/9/7
チョコラスク,1,0,2023/9/7
ストロベリーラスク,0,0,2023/9/7
ホワイトラスク,0,0,2023/9/7
極上プリン カップtak,10,0,2023/9/7
ほうじ茶プリン カッ,1,0,2023/9/7
極上プリン　ビン　Ta,0,0,2023/9/7
フレンチトーストtake,1,0,2023/9/7
バスクチーズtake,3,0,2023/9/7
冷やしパンケーキ,6,0,2023/9/7
冷やしパンケーキ　8,0,0,2023/9/7
プレーン 2斤,0,0,2023/9/8
純生 2斤,0,0,2023/9/8
栗　1斤,0,0,2023/9/8
柚子一斤,0,0,2023/9/8
ホイップバター,0,0,2023/9/8
天使のクロワッサン,0,0,2023/9/8
塩トリュフクロワッサン,0,0,2023/9/8
チョコレートクロワッサン,0,0,2023/9/8
ストロベリークロワッサン,0,0,2023/9/8
ホワイトチョコクロワッサン,0,0,2023/9/8
アーモンドダマンドクロワッサン,0,0,2023/9/8
アールグレイダマンドクロワッサン,0,0,2023/9/8
ほうじ茶ダマンドクロワッサン,0,0,2023/9/8
カボチャサラダクロワッサン,0,0,2023/9/8
板チョコバタークロワッサン,0,0,2023/9/8
ソーセージクロワッサン,0,0,2023/9/8
パストラミクロワッサン,0,0,2023/9/8
生ハムクロワッサン,0,0,2023/9/8
レモンとピスタチオのクロワッサン,0,0,2023/9/8
ささみカツバーガー,0,0,2023/9/8
アラビアータバーガー,0,0,2023/9/8
照り焼きチキンバーガ,0,0,2023/9/8
明太マヨコロッケバー,0,0,2023/9/8
シーザーサラダバーガ,0,0,2023/9/8
ツナチェダーバーガー,0,0,2023/9/8
悪魔のカレーパン,0,0,2023/9/8
とうもろこしクロックムッシュ,0,0,2023/9/8
明太ペペロンチーノフランス,0,0,2023/9/8
明太チーズオムレツサンド,0,0,2023/9/8
トマトとリコッタのタルティーヌ,0,0,2023/9/8
チョリソーとキャベツのタルティーヌ,0,0,2023/9/8
シラスとキノコのタルティーヌ,0,0,2023/9/8
夏野菜とチーズのタルティーヌ,0,0,2023/9/8
あんバタートースト,0,0,2023/9/8
ベリーとクリームチーズのハニートースト,0,0,2023/9/8
カボチャのクリームパン,0,0,2023/9/8
きな粉とくるみのあんバター,0,0,2023/9/8
ボストック,0,0,2023/9/8
チョコマフィン,0,0,2023/9/8
レモンカスタードマフ,0,0,2023/9/8
ストロベリーマフィン,0,0,2023/9/8
シャインマスカットのフルーツパイ,0,0,2023/9/8
シナモンロール,0,0,2023/9/8
レモンアールグレイのクロッフィン,0,0,2023/9/8
シュガーラスク,0,0,2023/9/8
シナモンラスク,0,0,2023/9/8
チョコラスク,0,0,2023/9/8
ストロベリーラスク,0,0,2023/9/8
ホワイトラスク,0,0,2023/9/8
極上プリン カップtak,0,0,2023/9/8
ほうじ茶プリン カッ,0,0,2023/9/8
極上プリン　ビン　Ta,0,0,2023/9/8
フレンチトーストtake,0,0,2023/9/8
バスクチーズtake,0,0,2023/9/8
冷やしパンケーキ,0,0,2023/9/8
冷やしパンケーキ　8,0,0,2023/9/8
プレーン 2斤,30,0,2023/9/9
純生 2斤,17,0,2023/9/9
栗　1斤,26,0,2023/9/9
柚子一斤,0,0,2023/9/9
ホイップバター,10,0,2023/9/9
天使のクロワッサン,10,0,2023/9/9
塩トリュフクロワッサン,19,0,2023/9/9
チョコレートクロワッサン,16,0,2023/9/9
ストロベリークロワッサン,6,0,2023/9/9
ホワイトチョコクロワッサン,3,0,2023/9/9
アーモンドダマンドクロワッサン,10,0,2023/9/9
アールグレイダマンドクロワッサン,3,0,2023/9/9
ほうじ茶ダマンドクロワッサン,3,0,2023/9/9
カボチャサラダクロワッサン,1,0,2023/9/9
板チョコバタークロワッサン,0,0,2023/9/9
ソーセージクロワッサン,10,0,2023/9/9
パストラミクロワッサン,3,0,2023/9/9
生ハムクロワッサン,3,0,2023/9/9
レモンとピスタチオのクロワッサン,1,0,2023/9/9
ささみカツバーガー,8,0,2023/9/9
アラビアータバーガー,7,0,2023/9/9
照り焼きチキンバーガ,5,0,2023/9/9
明太マヨコロッケバー,3,0,2023/9/9
シーザーサラダバーガ,0,0,2023/9/9
ツナチェダーバーガー,0,0,2023/9/9
悪魔のカレーパン,19,0,2023/9/9
とうもろこしクロックムッシュ,11,0,2023/9/9
明太ペペロンチーノフランス,6,0,2023/9/9
明太チーズオムレツサンド,0,0,2023/9/9
トマトとリコッタのタルティーヌ,4,0,2023/9/9
チョリソーとキャベツのタルティーヌ,3,0,2023/9/9
シラスとキノコのタルティーヌ,4,0,2023/9/9
夏野菜とチーズのタルティーヌ,6,0,2023/9/9
あんバタートースト,12,0,2023/9/9
ベリーとクリームチーズのハニートースト,3,0,2023/9/9
カボチャのクリームパン,0,0,2023/9/9
きな粉とくるみのあんバター,0,0,2023/9/9
ボストック,0,0,2023/9/9
チョコマフィン,0,0,2023/9/9
レモンカスタードマフ,7,0,2023/9/9
ストロベリーマフィン,0,0,2023/9/9
シャインマスカットのフルーツパイ,8,0,2023/9/9
シナモンロール,4,0,2023/9/9
レモンアールグレイのクロッフィン,3,0,2023/9/9
シュガーラスク,6,0,2023/9/9
シナモンラスク,0,0,2023/9/9
チョコラスク,2,0,2023/9/9
ストロベリーラスク,0,0,2023/9/9
ホワイトラスク,2,0,2023/9/9
極上プリン カップtak,21,0,2023/9/9
ほうじ茶プリン カッ,3,0,2023/9/9
極上プリン　ビン　Ta,6,0,2023/9/9
